case_id,scenario_type,scenario_label,expected_attention,expected_level,expected_keyword_behavior,expected_ai_behavior,rationale
TEST-REPLAY-001,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,菜花样肿物 + 诊断明确写癌，关键词与语义都应当发现，是升级后绝不能丢的典型病例。
TEST-REPLAY-002,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,环周浸润、管壁僵硬、管腔狭窄三条红色规则同时命中，诊断亦明确，是最不该被漏掉的一类。
TEST-REPLAY-003,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,贲门失弛缓症是种子规则里的红色关键词，命中即应红色，语义路径读到的也是同一结论。
TEST-REPLAY-004,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,食管裂孔疝为红色关键词；齿状线上移同时命中黄色规则，取最大等级应为红色。
TEST-REPLAY-005,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,溃疡为黄色规则、占位为红色规则，诊断写「性质待病理」并不能降低等级，最大等级为红色。
TEST-REPLAY-006,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,菜花样肿物为红色规则；注意「内镜通过困难」并不等于关键词「内镜无法通过」，此处红色来自菜花样肿物。
TEST-REPLAY-007,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,管壁僵硬与管腔狭窄均为红色规则，诊断明确写癌；「进镜尚可通过」不构成否定。
TEST-REPLAY-008,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,间质瘤为红色关键词；表面光滑并不降低等级，因为该规则盯的就是黏膜下肿物本身。
TEST-REPLAY-009,A,A 关键词明显命中，语义也应关注,YES,YELLOW,HIT,SHOULD_FIND,肿物与神经内分泌瘤都是黄色规则，本组中属于中等关注；语义路径读到的风险与其一致。
TEST-REPLAY-010,A,A 关键词明显命中，语义也应关注,YES,YELLOW,HIT,SHOULD_FIND,吻合口狭窄为黄色规则，是需要内镜干预的术后并发症线索，属于应被看到的病例。
TEST-REPLAY-011,A,A 关键词明显命中，语义也应关注,YES,RED,HIT,SHOULD_FIND,胃食管反流病四级为红色规则、糜烂带为黄色规则，取最大等级应为红色。
TEST-REPLAY-012,A,A 关键词明显命中，语义也应关注,YES,YELLOW,HIT,SHOULD_FIND,息肉为黄色规则，已钳除但仍应出现在名单上；这一例同时是「黄色也可能需要关注」的样本。
TEST-REPLAY-013,B,B 关键词不命中，整份报告语义应关注,YES,RED,NO_HIT,SHOULD_FIND,通篇没有一个规则词，但堤状隆起、微血管紊乱、质脆易出血合起来指向恶性，是「关键词漏掉、语义应找到」的代表。
TEST-REPLAY-014,B,B 关键词不命中，整份报告语义应关注,YES,RED,NO_HIT,SHOULD_FIND,皱襞中断纠集 + 接触后出血 + 伸展性差，是食管早癌的常见内镜描述，规则词一个都没有。
TEST-REPLAY-015,B,B 关键词不命中，整份报告语义应关注,YES,RED,NO_HIT,SHOULD_FIND,用「环形」而非规则词「环周浸润」，用「异常所见」而非「病变」，边界欠清 + 形态固定仍应触发语义关注。
TEST-REPLAY-016,B,B 关键词不命中，整份报告语义应关注,YES,RED,NO_HIT,SHOULD_FIND,直肠不规则凹陷伴周边纠集与质脆，是直肠癌的典型描述；关键词路径完全不响。
TEST-REPLAY-017,B,B 关键词不命中，整份报告语义应关注,YES,RED,NO_HIT,SHOULD_FIND,「贲门下方」「贲门区」都不会命中规则词「贲门失弛缓症」，但质硬、活动度减低指向深层受累。
TEST-REPLAY-018,B,B 关键词不命中，整份报告语义应关注,YES,RED,NO_HIT,SHOULD_FIND,刻意不写「溃疡」（否则命中黄色规则），改为「中央凹陷覆白苔 + 皱襞集中中断」，语义上仍是不应忽视的病灶。
TEST-REPLAY-019,B,B 关键词不命中，整份报告语义应关注,YES,YELLOW,NO_HIT,SHOULD_FIND,只有「糜烂」没有「糜烂带」，规则不命中；范围较广的黏膜脆弱渗血应落到黄色而非红色。
